X,Y,Z,formation
614717.8,2474934.9,386.0,Kharaib
614945.1,2475367.2,450.0,Kharaib
615106.8,2475717.5,513.0,Kharaib
615377.0,2476089.5,593.0,Kharaib
615835.7,2476429.4,744.0,Kharaib
616182.6,2476825.5,746.0,Kharaib
616666.2,2477564.0,660.0,Kharaib
615377.0,2474547.4,456.0,Kharaib
615688.5,2474776.4,515.0,Kharaib
616409.5,2475272.4,605.0,Kharaib
616768.1,2475662.9,707.0,Kharaib
617163.8,2476144.4,757.0,Kharaib
617483.3,2476501.3,698.0,Kharaib
619046.1,2477628.9,583.0,Kharaib
618955.1,2477058.3,661.0,Kharaib
619643.5,2476806.0,579.0,Kharaib
