X,Y,Z,formation
614337.6,2474668.2,357.0,Nahr_Umr
614449.0,2475332.4,433.0,Nahr_Umr
614754.3,2476078.4,500.0,Nahr_Umr
615255.5,2476708.4,523.0,Nahr_Umr
615811.9,2477357.5,542.0,Nahr_Umr
616199.3,2478110.6,487.0,Nahr_Umr
617237.0,2478698.5,500.0,Nahr_Umr
617838.2,2478654.4,485.0,Nahr_Umr
619488.9,2478573.6,456.0,Nahr_Umr
619611.2,2478236.3,522.0,Nahr_Umr
619667.6,2477828.1,546.0,Nahr_Umr
619837.0,2477427.5,549.0,Nahr_Umr
620456.3,2476765.2,444.0,Nahr_Umr
620614.0,2476127.7,350.0,Nahr_Umr
619035.2,2476334.1,527.0,Nahr_Umr
618992.6,2475635.5,383.0,Nahr_Umr
618431.5,2475326.4,385.0,Nahr_Umr
617494.4,2474757.9,355.0,Nahr_Umr
616510.4,2474271.7,354.0,Nahr_Umr
615867.8,2474384.6,433.0,Nahr_Umr
615198.0,2474009.7,353.0,Nahr_Umr
