X,Y,Z,formation
614146.6,2474812.4,414.0,Natih
614208.5,2475258.4,503.0,Natih
614559.6,2475981.4,576.0,Natih
614953.9,2476794.8,517.0,Natih
615343.3,2477015.2,622.0,Natih
615620.8,2477479.8,652.0,Natih
615874.9,2478292.5,493.0,Natih
619437.5,2479003.3,432.0,Natih
619729.5,2478294.7,574.0,Natih
619935.1,2477651.9,647.0,Natih
620487.1,2477051.8,584.0,Natih
620709.0,2476679.8,516.0,Natih
620814.6,2476154.7,400.0,Natih
619171.2,2476259.3,581.0,Natih
619349.6,2475609.4,436.0,Natih
618562.6,2475138.9,465.0,Natih
618393.0,2474619.1,361.0,Natih
617936.0,2474714.0,431.0,Natih
617396.3,2474463.9,417.0,Natih
617135.9,2474104.1,385.0,Natih
616633.9,2474098.0,391.0,Natih
616040.9,2474211.3,500.0,Natih
615735.8,2473834.5,362.0,Natih
615010.0,2473773.7,398.0,Natih
