X,Y,Z,formation,series,formation number
388568.6030310539,8056235.1313366,1360.0,Unit2,Default series,2
389251.5006917491,8055899.228730798,1392.0,Unit2,Default series,2
390017.5913708473,8055858.756516622,1310.0,Unit2,Default series,2
386871.03546969185,8056879.02212455,1415.0,Unit2,Default series,2
386339.2745755543,8057099.846559099,1417.0,Unit2,Default series,2
385703.1058632581,8057392.131487159,1456.0,Unit2,Default series,2
384995.52175969427,8057720.075460864,1494.0,Unit2,Default series,2
384468.2956292607,8057944.702559423,1523.0,Unit2,Default series,2
383735.93388042616,8058530.7960322155,1503.0,Unit2,Default series,2
383452.87335479085,8058957.148427254,1472.0,Unit2,Default series,2
383268.11978228076,8059437.41608791,1433.0,Unit2,Default series,2
382723.6918078333,8059698.371382269,1425.0,Unit2,Default series,2
382635.26696231693,8059822.72064458,1417.0,Unit2,Default series,2
382742.07632775477,8059986.219312694,1405.0,Unit2,Default series,2
390154.5319353376,8056614.5828988105,1399.0,Unit2,Default series,2
389687.3296206854,8057050.7852863595,1451.0,Unit2,Default series,2
388966.45136828674,8057515.37117359,1465.0,Unit2,Default series,2
388026.0426811646,8058121.765410752,1422.0,Unit2,Default series,2
387609.4602981661,8058773.1699876515,1475.0,Unit2,Default series,2
387142.67645911226,8059318.460691371,1456.0,Unit2,Default series,2
387679.7912642965,8059414.622126099,1503.0,Unit2,Default series,2
388014.9572900373,8059610.891939959,1489.0,Unit2,Default series,2
388531.63486601145,8059569.924661787,1500.0,Unit2,Default series,2
388667.4571031501,8059756.607034006,1499.0,Unit2,Default series,2
388229.1086071575,8060110.851407073,1473.0,Unit2,Default series,2
387492.9311663985,8060395.802820528,1404.0,Unit2,Default series,2
386633.36633024295,8060786.791555618,1381.0,Unit2,Default series,2
385875.36142955563,8061038.944507855,1370.0,Unit2,Default series,2
385003.147169,8061279.299191994,1367.0,Unit2,Default series,2
384629.2095554895,8061371.474366536,1382.0,Unit2,Default series,2
382137.1850737229,8059855.779722186,1384.0,Unit1,Default series,1
382570.4281306754,8059407.103034401,1404.0,Unit1,Default series,1
383445.0285782219,8058566.603820537,1440.0,Unit1,Default series,1
384034.10967826436,8058056.194995211,1481.0,Unit1,Default series,1
384744.20486681315,8057646.899604783,1456.0,Unit1,Default series,1
385489.9159428485,8057330.628220203,1414.0,Unit1,Default series,1
385925.81514132954,8057120.824085832,1391.0,Unit1,Default series,1
387336.53114773147,8056499.23031308,1366.0,Unit1,Default series,1
390327.3792601163,8056576.82810317,1354.0,Unit1,Default series,1
390180.02886838024,8056762.303697439,1388.0,Unit1,Default series,1
389953.12419288687,8056993.351926334,1402.0,Unit1,Default series,1
389643.9499465927,8057247.6950687645,1427.0,Unit1,Default series,1
389340.8968071324,8057447.2164103985,1426.0,Unit1,Default series,1
388957.03326270886,8057690.363691628,1419.0,Unit1,Default series,1
388657.3929695386,8057936.723472937,1422.0,Unit1,Default series,1
387905.0094266585,8059393.380946219,1467.0,Unit1,Default series,1
388217.6597400725,8059538.466574816,1440.0,Unit1,Default series,1
388608.1980653418,8059473.535666913,1469.0,Unit1,Default series,1
388809.2062817639,8059641.366465515,1463.0,Unit1,Default series,1
388686.38453850383,8059929.411537133,1465.0,Unit1,Default series,1
388421.56506226846,8060081.468900373,1457.0,Unit1,Default series,1
388152.67546113074,8060293.904553477,1429.0,Unit1,Default series,1
387807.31023930013,8060467.916616642,1403.0,Unit1,Default series,1
